species,stage,weibull_shape,weibull_scale,weibull_shift,scale_av_zero,shape_av_zero,shift_av_zero,scale_se_zero,shape_se_zero,shift_se_zero,w-dist_zero,scale_av_pos,shape_av_pos,shift_av_pos,scale_se_pos,shape_se_pos,shift_se_pos,w-dist_pos,scale_av_copy,shape_av_copy,shift_av_copy,scale_se_copy,shape_se_copy,shift_se_copy,w-dist_copy
Thrips palmi,Larva,0.4205,4.0738,0.0,    0.0335,   11.3979,    0.0000,    0.0002,    0.0855,    0.0000,    0.0140,    0.0334,   11.4140,    0.0001,    0.0002,    0.0784,    0.0001,    0.0140,    0.0337,   11.3043,    0.0000,    0.0002,    0.0725,    0.0000,    0.0141
Thrips palmi,Prepupa,5.7961,22.2699,0.0,    0.0183,  308.7095,    0.0000,    0.0001,    2.1054,    0.0000,    0.0511,    0.0182,  311.5321,    0.0053,    0.0002,    2.9636,    0.0011,    0.0494,    0.0184,  308.1232,    0.0000,    0.0002,    3.0172,    0.0000,    0.0493
Feltiella acarisuga,Egg,1.038,7.839,0.0,    0.0248,   39.3611,    0.0000,    0.0001,    0.2426,    0.0000,    0.0239,    0.0251,   38.9266,    0.0019,    0.0002,    0.3352,    0.0018,    0.0238,    0.0243,   40.1607,    0.0000,    0.0002,    0.2543,    0.0000,    0.0231
Feltiella acarisuga,Larva,1.078,5.433,0.0,    0.0506,   19.6454,    0.0000,    0.0004,    0.1766,    0.0000,    0.0293,    0.0506,   19.6745,    0.0005,    0.0004,    0.1860,    0.0005,    0.0286,    0.0508,   19.6088,    0.0000,    0.0003,    0.1042,    0.0000,    0.0289
Feltiella acarisuga,Pupa,1.0664,6.242,0.0,    0.0384,   25.8485,    0.0000,    0.0002,    0.1671,    0.0000,    0.0260,    0.0384,   25.8589,    0.0000,    0.0003,    0.1861,    0.0000,    0.0260,    0.0387,   25.6295,    0.0000,    0.0002,    0.1215,    0.0000,    0.0264
Neoseiulus californicus,Egg,1.319,3.259,-0.374,    0.4790,    1.6954,    0.0000,    0.0064,    0.0260,    0.0000,    0.1803,    0.4727,    1.7184,    0.0000,    0.0072,    0.0274,    0.0000,    0.1777,    0.1477,    8.0010,   -0.3740,    0.0006,    0.0340,    0.0000,    0.0421
Neoseiulus californicus,Larva,0.568,2.598,0.186,    0.0666,   10.3777,    0.0000,    0.0004,    0.0633,    0.0000,    0.0107,    0.0661,   10.4874,    0.0000,    0.0001,    0.0202,    0.0000,    0.0100,    0.1017,    4.9627,    0.1860,    0.0005,    0.0305,    0.0000,    0.0213
Neoseiulus californicus,Protonymph,1.106,4.234,-0.228,    0.1345,    5.8023,    0.0000,    0.0021,    0.0938,    0.0000,    0.0572,    0.1352,    5.7647,    0.0000,    0.0020,    0.0869,    0.0000,    0.0579,    0.0822,   12.2551,   -0.2280,    0.0008,    0.1422,    0.0000,    0.0343
Neoseiulus californicus,Deutonymph,0.526,1.463,0.302,    0.1259,    6.1924,    0.0000,    0.0012,    0.0497,    0.0000,    0.0250,    0.2124,    3.1997,    0.2058,    0.0178,    0.6118,    0.0426,    0.0983,    0.2595,    1.8349,    0.3020,    0.0021,    0.0130,    0.0000,    0.0183
Laodelphax striatellus ,Egg PD,0.9927,12.0617,0.0,    0.0105,   90.5552,    0.0000,    0.0001,    0.7513,    0.0000,    0.0165,    0.0102,   93.1796,    0.0000,    0.0001,    0.5069,    0.0000,    0.0156,    0.0104,   91.2346,    0.0000,    0.0001,    0.7532,    0.0000,    0.0162
Thecodiplosis japonensis,Larva PD,1.035,8.008,0.0,    0.0236,   41.3433,    0.0000,    0.0002,    0.4496,    0.0000,    0.0228,    0.0237,   41.2336,    0.0000,    0.0002,    0.3031,    0.0000,    0.0231,    0.0234,   41.7487,    0.0000,    0.0002,    0.3503,    0.0000,    0.0228
Thecodiplosis japonensis,Pupa PD,0.987,7.563,0.0,    0.0247,   37.4843,    0.0000,    0.0002,    0.3240,    0.0000,    0.0207,    0.0251,   36.9556,    0.0000,    0.0002,    0.3652,    0.0000,    0.0209,    0.0250,   37.1289,    0.0000,    0.0002,    0.3444,    0.0000,    0.0209
"Aphis 
Gossypii",Protonymph,0.6022,3.625,0.356,    0.0319,   28.2194,    0.0000,    0.0001,    0.1184,    0.0000,    0.0112,    0.0321,   28.0679,    0.0000,    0.0002,    0.2057,    0.0000,    0.0110,    0.0594,    9.1512,    0.3560,    0.0006,    0.0980,    0.0000,    0.0205
"Aphis 
Gossypii",Deutonymph,0.525,4.254,0.342,    0.0203,   40.4303,    0.0000,    0.0001,    0.2136,    0.0000,    0.0107,    0.0206,   39.8293,    0.0001,    0.0001,    0.2340,    0.0001,    0.0108,    0.0386,   12.3537,    0.3420,    0.0003,    0.0986,    0.0000,    0.0175
Amblyseius womersleyi,Egg,1.738,2.61,-0.517,    1.1579,    0.8954,    0.0000,    0.0157,    0.0131,    0.0000,    0.4618,    1.1516,    0.8986,    0.0000,    0.0119,    0.0099,    0.0000,    0.4574,    0.2729,    5.6881,   -0.5170,    0.0018,    0.0427,    0.0000,    0.0519
Amblyseius womersleyi,Larva,1.122,2.282,0.0486,    0.2313,    4.5046,    0.0000,    0.0022,    0.0427,    0.0000,    0.0362,    0.2316,    4.4994,    0.0003,    0.0013,    0.0221,    0.0002,    0.0361,    0.2526,    3.9280,    0.0486,    0.0024,    0.0346,    0.0000,    0.0432
Amblyseius womersleyi,Protonymph,1.343,1.551,-0.0762,    0.8662,    1.3027,    0.0000,    0.0082,    0.0129,    0.0000,    0.1313,    0.8695,    1.2922,    0.0000,    0.0116,    0.0148,    0.0000,    0.1335,    0.5791,    2.0771,   -0.0762,    0.0038,    0.0131,    0.0000,    0.0416
Amblyseius womersleyi,Deutonymph,1.418,1.905,-0.179,    0.8753,    1.2309,    0.0000,    0.0093,    0.0139,    0.0000,    0.2079,    0.8864,    1.2168,    0.0000,    0.0076,    0.0089,    0.0000,    0.2120,    0.4191,    3.0066,   -0.1790,    0.0023,    0.0172,    0.0000,    0.0469
